201_1_headxflow,,186_1_headxflow,,175_1_headxflow,,167_1_headxflow,,156_1_headxflow,,all_1_npshxflow,,201_1_powerxflow,,186_1_powerxflow,,175_1_powerxflow,,167_1_powerxflow,,156_1_powerxflow,,201_1_effxflow,,186_1_effxflow,,175_1_effxflow,,167_1_effxflow,,156_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
28.970814189192467,79.1865715462654,27.083434267109535,66.17585770112177,25.16110286498803,58.22719007868674,24.35721882410086,52.29497392678525,23.064014062673664,43.133088614610145,23.060978199266525,1.9796571407647505,28.964157141747567,15.719176370259788,27.077922474471727,12.157884464616316,25.156757535579665,10.435071457270851,24.35336128840662,9.047080765840576,23.060941238606507,7.178163475186665,28.947459611105728,53.942042531987084,27.061780883131863,54.52373698697548,25.144651906416176,51.683254973006086,24.341429809573842,51.992988384103796,23.050259279593625,51.5321655041779
29.180523069423902,79.13636943496581,27.293143147340974,66.12565558982217,25.37081174521947,58.17698796738715,24.566927704332294,52.24477181548565,23.2737229429051,43.06615246621068,23.27066516968749,1.9868742323349622,29.173738771444885,15.773965476500464,27.28750410416904,12.188322856972249,25.36633916527698,10.45942217115558,24.562942918103936,9.08969451513886,23.27052286830382,7.208601867542569,29.156707988568623,54.146013314905105,27.271013989777206,54.74281671677633,25.35390028387907,51.887225755924106,24.550647645401643,52.227177060787454,23.259492386238975,51.75124523397875
29.39023194965534,79.09453434221615,27.50285202757241,66.07545347852258,25.580520625450905,58.101684800437766,24.776636584563732,52.202936722735984,23.483431823136538,43.032684392010964,23.480337317574932,1.9989738664461996,29.3833204011422,15.816579225798776,27.497085733866356,12.224848927799357,25.575920794974294,10.508123598925067,24.77252454780125,9.120132907494792,23.48010449800114,7.220777224484948,29.36597927225784,54.327320677498875,27.48025473183133,54.95434197313574,25.56315629675074,52.08364206540068,24.75988838745576,52.43870231714686,23.468725492884317,51.970324963779575
29.599940829886776,79.03596521236662,27.712560907803844,66.03361838577291,25.79022950568234,58.04311567058825,24.986345464795168,52.161101629986334,23.693140703367973,42.9657482436115,23.690016876729135,2.008632229286924,29.592902030839515,15.85919297509706,27.706667363563675,12.26137499862648,25.785502424671613,10.526386634338621,24.98210617749857,9.144483621379521,23.689686127698454,7.245127938369677,29.575250555947058,54.508628040092674,27.689503109294225,55.15831275605376,25.772404674213636,52.2876128483187,24.969121494101106,52.657782046947716,23.67795096412089,52.19695916702182
29.809649710118215,78.99413011961697,27.922269788035283,65.98341627447333,25.99993838591378,57.98454654073873,25.196054345026603,52.110899518686736,23.902849583599412,42.93228016941178,23.899726080950376,2.00852550704559,29.80248366053683,15.907894402866546,27.91624899326099,12.297901069453587,25.995084054368927,10.569000383636919,25.191687807195883,9.187097370677833,23.89926775739577,7.281654009196785,29.784521839636273,54.68993540268647,27.898736215939568,55.377392485854614,25.981660687085302,52.484029157795305,25.178346965337678,52.88441625018996,23.88717643535746,52.42359337026406
30.01935859034965,78.92719397121752,28.13197866826672,65.94158118172368,26.209647266145215,57.91761039233928,25.405763225258042,52.069064425937086,24.112558463830847,42.86534402101232,24.109435285171617,2.008418784804256,30.012065290234148,15.962683509107222,28.125830622958304,12.334427140280695,26.204665684066242,10.587263419050473,25.401269436893198,9.199272727620212,24.108849387093084,7.293829366139164,29.993793123325492,54.87124276528027,28.107999864220012,55.5662543218898,26.190916699956972,52.68044546727194,25.3875877073918,53.095941506549366,24.096409542002807,52.64267310006488
30.229067470581086,78.88535887846785,28.341687548498157,65.86627801477428,26.419356146376654,57.84230722538989,25.615472105489477,52.00212827753762,24.322267344062283,42.82350892826267,24.319100021792302,2.0229596901860063,30.221646919931462,15.99920957993433,28.33541225265562,12.364865532636628,26.41424731376356,10.635964846819974,25.610851066590516,9.241886476918523,24.318431016790402,7.318180080023893,30.203033865379613,55.08276802163971,28.31724060627413,55.77777957824924,26.400187983646187,52.861752829865736,25.596836084854694,53.299912289467386,24.305650284056927,52.85419835642432
30.438776350812525,78.8184227300684,28.551396428729593,65.82444292202464,26.62906502660809,57.783738095540365,25.825180985720916,51.96029318478797,24.53197622429372,42.75657277986322,24.528772169679744,2.035059324297251,30.431228549628777,16.047911007703803,28.544993882352937,12.40139160346375,26.623828943460875,10.654227882233528,25.82043269628783,9.266237190803253,24.528012646487717,7.35470615085103,30.41230514906883,55.26407538423351,28.526511889963352,55.95908694084304,26.609436361109083,53.065723612783756,25.80607682690881,53.51143754582682,24.51489866151982,53.05816913934234
30.64848523104396,78.76822061876882,28.761105308961028,65.75750677362518,26.838773906839524,57.70843492859098,26.03488986595235,51.89335703638852,24.741685104525157,42.689636631463756,24.738473962634227,2.0373938733264296,30.640810179326095,16.09661243547329,28.754575512050252,12.437917674290858,26.83341057315819,10.702929310003015,26.030014325985146,9.290587904687982,24.737594276185032,7.36688150779338,30.621584068166825,55.43782827338586,28.735752632017473,56.17061219720247,26.81870000938953,53.254585448818915,26.015325204371706,53.71540832874484,24.724147038982718,53.26213992226036
30.8581941112754,78.70965148891929,28.970814189192467,65.71567168087552,27.048482787070963,57.64149878019153,26.244598746183787,51.84315492508894,24.951393984756596,42.63943452016417,24.94815352178843,2.047052236167147,30.85039180902341,16.139226184771587,28.964157141747567,12.474443745117966,27.042992202855505,10.727280023887744,26.239595955682464,9.333201653986293,24.94717590588235,7.3851445432069625,30.830870622673586,55.604026689096855,28.94500864488914,56.36702850667905,27.027971293078746,53.435892811412714,26.22456594642583,53.92693358510428,24.93339541644561,53.46611070517838
